,id,type,domain,hostname,containerTechnology,internalIpAddress,macAddress,lowLevelOrchestrator,cpuCores,currentCpuUsage,ramCapacity,availableRam,currentRamUsage,avgPowerConsumption,currentPowerConsumption,realTimeCapable,cpuArchitecture,operatingSystem,infrastructureElementTier,infrastructureElementStatus,location,availableDisk,currentDiskUsage,currentDiskUsagePct,currentRamUsagePct,diskCapacity,trustScore,timestamp
0,urn:ngsi-ld:InfrastructureElement:aeros-central-3c56dd2bb3kx-node-3,InfrastructureElement,urn:ngsi-ld:Domain:aeros-central,aeros-central-3c56dd2bb3kx-node-3,Kubernetes,10.0.0.178,fa:16:3e:c3:dd:29,urn:ngsi-ld:LowLevelOrchestrator:aeros-central,2,28,7394,4147,3247,5,3,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
1,urn:ngsi-ld:InfrastructureElement:aeros1-compute009,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute009,Kubernetes,10.16.4.64,76:ec:3a:68:0a:58,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252535,5274,36,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
2,urn:ngsi-ld:InfrastructureElement:aeros1-compute014,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute014,Kubernetes,10.16.4.141,e6:11:35:3b:62:12,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252597,5212,37,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
3,urn:ngsi-ld:InfrastructureElement:aeros1-compute008,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute008,Kubernetes,10.16.4.223,8a:33:ad:d5:0a:95,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252669,5140,33,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
4,urn:ngsi-ld:InfrastructureElement:aeros1-compute001,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute001,Kubernetes,10.16.4.53,8a:97:0c:07:21:69,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252614,5195,34,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
5,urn:ngsi-ld:InfrastructureElement:aeros1-compute004,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute004,Kubernetes,10.16.4.50,ee:fe:10:ce:21:c9,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252581,5228,39,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
6,urn:ngsi-ld:InfrastructureElement:aeros1-compute015,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute015,Kubernetes,10.16.4.101,ce:40:fb:0e:e9:8f,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252587,5222,38,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
7,urn:ngsi-ld:InfrastructureElement:aeros1-compute005,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute005,Kubernetes,10.16.4.179,fe:86:ed:3d:de:b2,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252124,5685,42,11,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
8,urn:ngsi-ld:InfrastructureElement:aeros1-compute011,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute011,Kubernetes,10.16.4.222,8e:0b:4a:67:3a:cd,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252613,5196,31,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
9,urn:ngsi-ld:InfrastructureElement:aeros1-compute016,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute016,Kubernetes,10.16.4.229,ce:c0:ba:af:ab:cc,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252499,5310,37,10,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
10,urn:ngsi-ld:InfrastructureElement:aeros1-compute002,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute002,Kubernetes,10.16.4.142,e6:be:78:91:a9:17,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252572,5237,34,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:23:57.227765
