,id,type,domain,hostname,containerTechnology,internalIpAddress,macAddress,lowLevelOrchestrator,cpuCores,currentCpuUsage,ramCapacity,availableRam,currentRamUsage,avgPowerConsumption,currentPowerConsumption,realTimeCapable,cpuArchitecture,operatingSystem,infrastructureElementTier,infrastructureElementStatus,location,availableDisk,currentDiskUsage,currentDiskUsagePct,currentRamUsagePct,diskCapacity,trustScore,timestamp
0,urn:ngsi-ld:InfrastructureElement:aeros-central-3c56dd2bb3kx-node-3,InfrastructureElement,urn:ngsi-ld:Domain:aeros-central,aeros-central-3c56dd2bb3kx-node-3,Kubernetes,10.0.0.178,fa:16:3e:c3:dd:29,urn:ngsi-ld:LowLevelOrchestrator:aeros-central,2,28,7394,4147,3247,5,3,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
1,urn:ngsi-ld:InfrastructureElement:aeros2-compute004,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute004,Kubernetes,10.16.12.219,e2:c1:94:92:09:7d,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252703,5106,34,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
2,urn:ngsi-ld:InfrastructureElement:aeros2-compute005,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute005,Kubernetes,10.16.12.74,1a:9d:2c:f9:f8:b3,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,253038,4771,38,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
3,urn:ngsi-ld:InfrastructureElement:aeros2-compute001,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute001,Kubernetes,10.16.12.174,d6:3c:7e:b3:9e:33,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252637,5172,34,8,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
4,urn:ngsi-ld:InfrastructureElement:aeros2-compute002,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute002,Kubernetes,10.16.12.146,be:fb:99:99:8e:3a,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252586,5223,40,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
5,urn:ngsi-ld:InfrastructureElement:aeros2-compute003,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute003,Kubernetes,10.16.12.143,9a:32:9a:6d:66:de,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252621,5188,35,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
6,urn:ngsi-ld:InfrastructureElement:aeros2-compute006,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute006,Kubernetes,10.16.12.35,66:90:a1:56:48:ce,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252610,5199,34,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
7,urn:ngsi-ld:InfrastructureElement:aeros2-compute007,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,aeros2-compute007,Kubernetes,10.16.12.126,c2:57:30:3a:82:f5,urn:ngsi-ld:LowLevelOrchestrator:aeros2,48,1,257809,252730,5079,36,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
8,urn:ngsi-ld:InfrastructureElement:aeros2-compute,InfrastructureElement,urn:ngsi-ld:Domain:aeros2,nodepool-aeros2-compute,Kubernetes,,,urn:ngsi-ld:LowLevelOrchestrator:aeros2,68,30,350716,249037,101679,706,147,False,urn:ngsi-ld:CpuArchitecture:x86_64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'coordinates': [0, 0], 'type': 'Point'}",-1.0,-1.0,-1.0,29.0,-1.0,-1.0,2024-12-05 14:45:53.428026
9,urn:ngsi-ld:InfrastructureElement:aeros1-compute009,InfrastructureElement,urn:ngsi-ld:Domain:aeros1,aeros1-compute009,Kubernetes,10.16.4.64,76:ec:3a:68:0a:58,urn:ngsi-ld:LowLevelOrchestrator:aeros1,48,1,257809,252557,5252,36,7,False,urn:ngsi-ld:CpuArchitecture:x64,urn:ngsi-ld:OperatingSystem:Linux,urn:ngsi-ld:InfrastructureElementTier:Cloud,urn:ngsi-ld:InfrastructureElementStatus:Ready,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,,2024-12-05 14:45:53.428026
