,cpu_usage,power_consumption
0,1,8
1,1,8
2,2,7
3,3,7
4,3,7
5,3,10
6,3,10
7,3,9
8,3,9
9,3,9
10,3,9
11,3,10
12,3,10
13,3,10
14,5,8
15,5,8
16,5,10
17,5,10
18,5,10
19,6,10
20,8,11
21,7,11
22,7,11
23,7,13
24,7,13
25,9,12
26,9,12
27,9,13
28,9,13
29,9,13
30,11,14
31,11,15
32,12,15
33,14,14
34,13,14
35,13,14
36,14,15
37,15,15
38,15,17
39,15,18
40,17,18
41,17,18
42,17,19
43,19,18
44,19,18
45,20,20
46,20,20
47,22,21
48,22,22
49,24,21
50,24,21
51,24,23
52,24,21
53,26,23
54,26,23
55,27,23
56,28,25
57,30,25
58,30,26
59,30,26
60,32,26
61,32,28
62,33,28
63,34,29
64,34,29
65,36,29
66,36,28
67,36,31
68,38,30
69,39,32
70,38,30
71,40,31
72,41,32
73,42,34
74,42,39
75,44,34
76,44,36
77,44,35
78,47,35
79,47,36
80,46,36
81,49,36
82,49,37
83,49,37
84,51,37
85,51,38
86,51,39
87,53,41
88,53,41
89,53,39
90,55,39
91,55,46
92,56,41
93,57,43
94,57,43
95,59,45
96,59,45
97,59,43
98,61,44
99,61,46
100,61,46
101,64,46
102,63,46
103,63,53
104,67,50
105,65,48
106,67,48
107,67,49
108,69,49
109,70,48
110,70,49
111,72,50
112,72,53
113,71,53
114,74,51
115,74,53
116,76,51
117,76,55
118,76,54
119,78,54
120,78,54
121,78,54
122,80,55
123,80,56
124,80,56
125,83,56
126,83,58
127,82,58
128,84,57
129,84,57
130,86,58
131,86,58
132,89,58
133,89,61
134,90,58
135,90,63
136,93,63
137,92,63
138,92,69
139,95,69
140,95,62
141,94,62
142,94,71
143,97,63
144,99,67
145,96,67
146,98,66
147,98,66
148,99,68
149,99,68
150,96,65
151,100,65
152,100,72
153,1,70
