cpu_utilization,power_consumption
1,8
1,8
2,7
3,7
3,7
3,10
3,10
3,9
3,9
3,9
3,9
3,10
3,10
3,10
5,8
5,8
5,10
5,10
5,10
6,10
8,11
7,11
7,11
7,13
7,13
9,12
9,12
9,13
9,13
9,13
11,14
11,15
12,15
14,14
13,14
13,14
14,15
15,15
15,17
15,18
17,18
17,18
17,19
19,18
19,18
20,20
20,20
22,21
22,22
24,21
24,21
24,23
24,21
26,23
26,23
27,23
28,25
30,25
30,26
30,26
32,26
32,28
33,28
34,29
34,29
36,29
36,28
36,31
38,30
39,32
38,30
40,31
41,32
42,34
42,39
44,34
44,36
44,35
47,35
47,36
46,36
49,36
49,37
49,37
51,37
51,38
51,39
53,41
53,41
53,39
55,39
55,46
56,41
57,43
57,43
59,45
59,45
59,43
61,44
61,46
61,46
64,46
63,46
63,53
67,50
65,48
67,48
67,49
69,49
70,48
70,49
72,50
72,53
71,53
74,51
74,53
76,51
76,55
76,54
78,54
78,54
78,54
80,55
80,56
80,56
83,56
83,58
82,58
84,57
84,57
86,58
86,58
89,58
89,61
90,58
90,63
93,63
92,63
92,69
95,69
95,62
94,62
94,71
97,63
99,67
96,67
98,66
98,66
99,68
99,68
96,65
100,65
100,72
1,70
