datetime,inverter1,inverter2,inverter3,time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),azimuth,zenith,Gpoa (W/m²),energy1,energy2,energy3,error1,error2,error3
2024-06-07 03:00:00,,,,2024-06-07T03:00,30.0,25.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,12.4,27.8,23.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46,106,0.0,0.0,0.0,0.0,,,
2024-06-07 04:00:00,0.0,0.0,0.0,2024-06-07T04:00,29.4,29.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,10.2,22.4,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56,97,0.0,0.0,0.0,0.0,,,
2024-06-07 05:00:00,0.0,0.0,0.0,2024-06-07T05:00,28.6,29.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,6.7,16.3,17.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65,86,0.0,0.0,0.0,0.0,,,
2024-06-07 06:00:00,465.05833333333334,486.0,299.24583333333334,2024-06-07T06:00,28.4,30.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,6.4,15.5,11.5,1,0.0,6.0,1.0,5.0,13.5,6.0,40.0,15.0,2.5,12.5,28.7,100.0,-73,75,11.419090295034886,0.0,0.0,0.0,1.0,1.0,1.0
2024-06-07 07:00:00,3028.95,2994.8791666666666,1792.8416666666667,2024-06-07T07:00,30.9,27.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,7.2,13.4,13.0,1,3600.0,105.0,53.0,52.0,306.1,105.0,229.9,164.7,83.1,81.6,306.1,360.6,-80,63,244.3980432130596,3848.258878877236,3420.6745590019873,2076.8381251083492,0.2704927050222804,0.14217448138625094,0.15840576651127355
2024-06-07 08:00:00,6392.204166666666,5909.095833333334,3506.325,2024-06-07T08:00,33.9,25.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,6.2,8.7,15.5,1,3600.0,287.0,197.0,90.0,534.0,287.0,489.9,361.4,248.1,113.3,534.0,616.9,-88,51,490.2624168633406,7606.191320875357,6761.058951889207,4104.9286493613035,0.18991683033831294,0.1441782537609106,0.17072109669277769
2024-06-07 09:00:00,9021.804166666667,8193.525,4890.804166666667,2024-06-07T09:00,35.9,22.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.8,19.4,1,3600.0,484.0,371.0,113.0,668.8,484.0,736.6,559.4,428.8,130.6,668.8,851.3,-98,38,678.6423542875403,10424.154952349463,9265.915513199525,5625.734418728282,0.15544017136440796,0.13088268031152955,0.1502677733593468
2024-06-07 10:00:00,10735.795833333334,9710.566666666668,5808.504166666667,2024-06-07T10:00,38.4,18.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,9.1,11.2,22.7,1,3600.0,667.0,539.0,128.0,750.8,667.0,953.4,733.1,592.5,140.7,750.8,1047.9,-111,27,798.6505731446176,12113.554549540067,10767.604044035616,6537.473883878767,0.12833317041378167,0.10885434533881798,0.12550042081323584
2024-06-07 11:00:00,11704.358333333334,10714.641666666666,6368.566666666667,2024-06-07T11:00,39.9,17.0,39.6,0.0,0.0,2.0,0.0,0.0,7.0,12.0,15.0,28.8,1,3600.0,817.0,678.0,139.0,800.1,817.0,1125.4,866.3,718.9,147.4,800.1,1193.3,-137,16,866.0585833159882,13035.792370509645,11587.370996008573,7035.189533290919,0.11375540625618621,0.08145203138775736,0.10467392452894984
2024-06-07 12:00:00,12093.345833333333,11100.370833333332,6557.3625,2024-06-07T12:00,40.6,17.0,41.0,0.0,0.0,10.0,0.0,2.0,30.0,11.5,14.3,29.2,1,3600.0,906.0,745.0,161.0,797.3,906.0,1240.8,932.8,767.1,165.8,797.3,1277.6,167,13,857.2304022010065,12856.640009418034,11428.124452816031,6938.504132066875,0.06311687324617848,0.02952636667763267,0.058124227853328984
