time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2024-06-01T00:00,19.5,65,12.8,19.7,0,0,0,0,0,1017.3,1000.9,0,0,0,0,0.01,0.78,4.1,9.2,308,281,9.7,23,26.9,24.8,20.2,0.071,0.162,0.144,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T01:00,18.1,72,13.1,18.6,0,0,0,0,0,1017.4,1001,0,0,0,0,0,0.57,3.6,7.7,323,311,6.8,22,26.7,24.8,20.2,0.071,0.162,0.144,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T02:00,17.7,69,12,17.8,0,0,0,0,0,1017.4,1000.9,0,0,0,0,0,0.62,3.3,9.9,319,327,6.1,21.1,26.5,24.8,20.2,0.071,0.162,0.144,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T03:00,17.2,71,11.9,16.9,0,0,0,0,0,1017.4,1000.9,0,0,0,0,0.01,0.57,6.2,13.4,291,306,10.1,20.4,26.3,24.8,20.2,0.071,0.162,0.144,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T04:00,17.4,91,16,18.6,0,0,0,0,0,1017.4,1000.9,4,5,0,0,0,0.17,5.9,15.3,284,297,11.5,19.6,26,24.8,20.2,0.078,0.16,0.143,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T05:00,16.8,98,16.5,18.4,0,0,0,0,1,1017.8,1001.3,39,43,0,0,0,0.03,4.3,8,228,297,10.4,19.4,25.8,24.8,20.2,0.078,0.16,0.143,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01T06:00,17.3,100,17.3,19.3,0,0,0,0,2,1018.3,1001.8,61,68,0,0,0.01,0.01,3.9,7.6,236,289,6.1,19.4,25.5,24.8,20.2,0.079,0.16,0.143,0.145,1,0,5,0,5,0,5,37.7,12.6,0,12.6,0,5,95.3
2024-06-01T07:00,18.9,93,17.7,20.9,0,0,0,0,2,1018.5,1002.1,56,62,0,0,0.04,0.15,4.9,10,253,283,11.5,20.1,25.3,24.8,20.2,0.079,0.16,0.143,0.145,1,2234.51,82,23,59,134.9,82,226.2,129.7,36.4,93.3,135.3,129.3,357.8
2024-06-01T08:00,21.5,78,17.6,23.5,0,0,0,0,0,1018.5,1002.2,0,0,0,0,0.16,0.55,4.7,6.9,270,279,14.4,21.7,25.1,24.8,20.2,0.078,0.16,0.143,0.145,1,3600,268,157,111,428.2,268,487.8,338.2,198.1,140.1,428.2,338.2,615.5
2024-06-01T09:00,24.6,63,17.1,26.8,0,0,0,0,0,1018.3,1002.2,0,0,0,0,0.31,1.14,2.2,3.4,270,288,14.4,24.2,25,24.8,20.2,0.078,0.16,0.143,0.145,1,3600,479,360,119,650.8,479,735.8,554,416.3,137.6,650.8,554,851
2024-06-01T10:00,27.9,49,16.3,30.7,0,0,0,0,0,1017.8,1001.9,0,0,0,0,0.46,1.91,0.8,1.5,63,14,12.6,27.3,25.1,24.8,20.2,0.078,0.16,0.143,0.145,1,3600,665,529,136,738.1,665,953.4,731.1,581.6,149.5,738.1,731.1,1048.1
2024-06-01T11:00,30.5,38,14.8,33.4,0,0,0,0,0,1017.6,1001.8,0,0,0,0,0.6,2.69,3.1,4.2,54,31,15.5,30.4,25.2,24.8,20.2,0.077,0.16,0.143,0.145,1,3600,816,669,147,790.7,816,1125.6,865.2,709.4,155.9,790.7,865.2,1193.5
2024-06-01T12:00,32.5,31,13.3,35.1,0,0,0,0,0,1017.3,1001.6,0,0,0,0,0.7,3.36,5.5,6.8,32,25,19.4,33.3,25.5,24.8,20.2,0.076,0.16,0.143,0.145,1,3600,918,764,154,819.1,918,1240.8,944.9,786.4,158.5,819.1,944.9,1277.2
2024-06-01T13:00,33.7,29,13.3,36,0,0,0,0,0,1016.9,1001.3,7,0,11,0,0.77,3.71,8,10,18,13,23.4,35.6,25.8,24.8,20.2,0.075,0.159,0.143,0.145,1,3600,961,804,157,828.4,961,1291.1,962.8,805.5,157.3,828.4,962.8,1293.6
2024-06-01T14:00,34,29,13.4,35.3,0,0,0,0,0,1016.5,1000.9,16,0,26,0,0.77,3.77,12.2,15.8,358,359,29.9,37.1,26.2,24.8,20.2,0.074,0.159,0.143,0.145,1,3600,916,738,178,771.1,916,1273.2,893.2,719.6,173.6,771.1,893.2,1241.5
2024-06-01T15:00,33,31,13.9,33.7,0,0,0,0,0,1016.6,1001,2,0,4,0,0.67,3.45,12.6,16.2,13,12,31.7,37.6,26.6,24.8,20.2,0.074,0.159,0.143,0.145,1,3600,784,577,207,646,784,1188.2,742,546.1,195.9,646,742,1124.5
2024-06-01T16:00,33.3,26,10.9,33.1,0,0,0,0,0,1016.7,1001.1,0,0,0,0,0.63,3.8,10.4,13,358,357,28.8,38.2,27,24.8,20.2,0.074,0.16,0.143,0.145,1,3600,745,605,140,772.4,745,1041.9,679.7,552,127.7,772.4,679.7,950.6
2024-06-01T17:00,32.1,28,11.3,31.2,0,0,0,0,0,1016.5,1000.8,0,0,0,0,0.49,3.43,9.4,11.5,2,2,25.9,37.7,27.4,24.8,20.2,0.073,0.159,0.143,0.145,1,3600,576,450,126,708.9,576,844.4,499.1,390,109.2,708.9,499.1,731.7
2024-06-01T18:00,30.5,33,12.3,30.1,0,0,0,0,0,1016.4,1000.7,0,0,0,0,0.33,2.94,8,9.8,8,6,23.4,36.5,27.7,24.8,20.2,0.073,0.159,0.143,0.145,1,3600,382,276,106,602.8,382,609,302.7,218.7,84,602.8,302.7,482.7
2024-06-01T19:00,29,37,12.7,28.9,0,0,0,0,0,1016.5,1000.7,0,0,0,0,0.17,2.53,5.9,7.5,14,17,19.4,34.7,28,24.8,20.2,0.073,0.159,0.143,0.145,1,3600,185,110,75,415.7,185,352,115.9,68.9,47,415.7,115.9,220.5
