air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,period_end,period
18,0.13,-5,0,0,0,0,20.2,14.7,0,0,0,0,24.7,0,79.2,982.8,0,0,0,0,197,190,0.9,0.5,123,2023-06-01T00:05:00+02:00,PT5M
18,0.13,-7,0,0,0,0,12.2,14.7,0,0,0,0,24.7,0,79.4,982.7,0,0,0,0,194,186,0.9,0.5,123,2023-06-01T00:10:00+02:00,PT5M
18,0.13,-8,0,0,0,0,9.5,14.8,0,0,0,0,24.8,0,79.7,982.7,0,0,0,0,190,182,0.9,0.5,123,2023-06-01T00:15:00+02:00,PT5M
18,0.13,-9,0,0,0,0,0,14.8,0,0,0,0,24.8,0,79.9,982.7,0,0,0,0,187,178,0.8,0.5,122,2023-06-01T00:20:00+02:00,PT5M
18,0.13,-11,0,0,0,0,0,14.8,0,0,0,0,24.8,0,80.2,982.6,0,0,0,0,183,174,0.8,0.5,122,2023-06-01T00:25:00+02:00,PT5M
18,0.13,-12,0,0,0,0,0,14.8,0,0,0,0,24.8,0,80.4,982.6,0,0,0,0,178,170,0.8,0.5,122,2023-06-01T00:30:00+02:00,PT5M
18,0.13,-13,0,0,0,0,0,14.9,0,0,0,0,24.8,0,80.7,982.6,0,0,0,0,174,165,0.7,0.5,122,2023-06-01T00:35:00+02:00,PT5M
18,0.13,-15,0,0,0,0,0,14.9,0,0,0,0,24.8,0,80.9,982.5,0,0,0,0,169,161,0.7,0.5,122,2023-06-01T00:40:00+02:00,PT5M
18,0.13,-16,0,0,0,0,0,14.9,0,0,0,0,24.8,0,81.2,982.5,0,0,0,0,164,157,0.7,0.5,121,2023-06-01T00:45:00+02:00,PT5M
18,0.13,-17,0,0,0,0,0,14.9,0,0,0,0,24.8,0,81.5,982.5,0,0,0,0,159,153,0.7,0.5,121,2023-06-01T00:50:00+02:00,PT5M
18,0.13,-19,0,0,0,0,0,15,0,0,0,0,24.8,0,81.7,982.4,0,0,0,0,154,149,0.7,0.5,121,2023-06-01T00:55:00+02:00,PT5M
18,0.13,-20,0,0,0,0,0,15,0,0,0,0,24.8,0,82,982.4,0,0,0,0,149,145,0.7,0.5,120,2023-06-01T01:00:00+02:00,PT5M
18,0.13,-21,0,0,0,0,9.5,15,0,0,0,0,24.8,0,82.2,982.4,0,0,0,0,146,145,0.7,0.5,120,2023-06-01T01:05:00+02:00,PT5M
18,0.13,-22,0,0,0,0,9.5,15,0,0,0,0,24.8,0,82.2,982.3,0,0,0,0,146,147,0.8,0.6,120,2023-06-01T01:10:00+02:00,PT5M
18,0.13,-24,0,0,0,0,0,15,0,0,0,0,24.7,0,82.3,982.3,0,0,0,0,146,149,0.9,0.6,119,2023-06-01T01:15:00+02:00,PT5M
18,0.13,-25,0,0,0,0,16.2,15,0,0,0,0,24.7,0,82.4,982.2,0,0,0,0,145,151,0.9,0.6,119,2023-06-01T01:20:00+02:00,PT5M
18,0.13,-26,0,0,0,0,17.6,15,0,0,0,0,24.7,0,82.5,982.2,0,0,0,0,145,153,1,0.7,118,2023-06-01T01:25:00+02:00,PT5M
18,0.13,-27,0,0,0,0,17.6,15,0,0,0,0,24.6,0,82.6,982.2,0,0,0,0,145,155,1,0.7,118,2023-06-01T01:30:00+02:00,PT5M
18,0.13,-29,0,0,0,0,10.9,14.9,0,0,0,0,24.6,0,82.7,982.1,0,0,0,0,145,156,1.1,0.7,117,2023-06-01T01:35:00+02:00,PT5M
18,0.13,-30,0,0,0,0,12.2,14.9,0,0,0,0,24.6,0,82.8,982.1,0,0,0,0,145,157,1.1,0.8,117,2023-06-01T01:40:00+02:00,PT5M
18,0.13,-31,0,0,0,0,29,14.9,0,0,0,0,24.6,0,82.8,982,0,0,0,0,144,158,1.2,0.8,116,2023-06-01T01:45:00+02:00,PT5M
