datetime,inverter1,inverter2,inverter3,time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),azimuth,zenith,Gpoa (W/m²),energy1,energy2,energy3,error1,error2,error3
2024-04-18 11:00:00,,,,2024-04-18T11:00,23.9,58,23.6,0.0,0.0,1,1,0,0,20.4,27.6,43.2,1,3600.0,730,545,185,703.8,730,1051.0,781.6,583.5,198.1,703.8,1125.2,-153,27,745.8408728618818,12146.502585556485,10796.891187161322,6555.25536363366,,,
2024-04-18 12:00:00,13577.557939914162,12056.038626609443,7267.5751072961375,2024-04-18T12:00,25.0,54,25.2,0.0,0.0,0,0,0,0,20.8,28.0,44.3,1,3600.0,853,673,180,775.7,853,1177.4,882.2,696.0,186.2,775.7,1217.7,173,25,770.8161696003664,12487.858558916249,11100.318719036668,6739.479222272262,0.08025739133798925,0.07927312919049223,0.0726646614898695
2024-04-18 13:00:00,13236.7,11700.820833333333,7034.15,2024-04-18T13:00,25.7,51,25.8,0.0,0.0,2,2,0,0,21.9,29.5,46.4,1,3600.0,888,701,187,771.1,888,1233.8,890.6,703.0,187.5,771.1,1237.4,142,29,722.462348622599,11665.489454102233,10369.323959201985,6295.660975229776,0.11870107699787466,0.11379516814223627,0.10498624919431962
2024-04-18 14:00:00,11805.420833333334,10110.670833333334,6178.875,2024-04-18T14:00,25.4,51,24.9,0.0,0.0,6,5,2,0,23.7,32.3,49.0,1,3600.0,847,649,198,724.1,847,1216.3,823.8,631.2,192.6,724.1,1182.9,121,39,610.3215593222383,9868.888118942887,8772.3449946159,5326.066603873937,0.16403758423609324,0.13236765994845548,0.1380200111065627
2024-04-18 15:00:00,9169.129166666668,7615.933333333333,3036.7166666666667,2024-04-18T15:00,24.7,54,23.4,0.0,0.0,4,4,1,0,26.4,37.2,52.9,1,3600.0,763,567,196,683.3,763,1126.2,716.9,532.7,184.2,683.3,1058.1,107,50,488.20222837612044,7920.57315081858,7040.509467394296,4274.595033775107,0.13616953073221738,0.07555526561932058,0.4076370972294992
2024-04-18 16:00:00,5902.720833333334,4800.366666666667,1454.0708333333334,2024-04-18T16:00,24.0,57,22.5,0.0,0.0,4,2,3,0,24.7,34.8,53.3,1,3600.0,648,483,165,676.1,648,969.5,582.4,434.1,148.3,676.1,871.4,97,62,342.21743416836017,5570.594077094436,4951.6391796395,3006.352359066839,0.05626672268885564,0.03151269964922817,1.0675418900845652
2024-04-18 17:00:00,4110.616666666667,2437.3541666666665,913.9458333333333,2024-04-18T17:00,22.8,59,21.0,0.0,0.0,0,0,0,0,21.9,31.2,49.3,1,3600.0,468,327,141,586.2,468,757.0,392.9,274.6,118.4,586.2,635.6,88,74,195.33439940667665,3197.71629533763,2842.41448474456,1725.7516514520541,0.2220835571294745,0.1661885349357559,0.8882428132068959
2024-04-18 18:00:00,1066.8041666666666,759.525,353.4291666666667,2024-04-18T18:00,21.3,66,19.9,0.0,0.0,4,5,0,0,20.1,29.0,43.2,1,3600.0,283,175,108,471.9,283,503.3,206.3,127.5,78.7,471.9,366.8,79,86,106.87703222825003,1506.529818800632,1339.1376167116732,813.0478387178015,0.4121896650515821,0.7631251330919631,1.300454844703351
2024-04-18 19:00:00,220.15416666666667,163.69166666666666,71.1625,2024-04-18T19:00,19.7,74,18.7,0.0,0.0,5,6,0,0,18.6,28.1,38.9,1,3406.72,96,38,58,221.1,96,225.5,35.5,14.0,21.4,161.0,83.3,71,98,57.15231226568289,434.0248963231718,385.7999078428194,234.23565833314032,0.971458923056972,1.3568695688610868,2.2915602787021303
2024-04-18 20:00:00,0.0,0.0,0.0,2024-04-18T20:00,18.7,80,17.5,0.0,0.0,1,1,0,0,19.9,33.5,36.0,0,0.0,4,0,4,0.0,4,31.8,0.0,0.0,0.0,0.0,0.0,61,109,3.930087609540857,0.0,0.0,0.0,,,
2024-04-18 21:00:00,0.0,0.0,0.0,2024-04-18T21:00,18.3,78,16.7,0.0,0.0,0,0,0,0,20.5,35.3,37.1,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49,119,0.0,0.0,0.0,0.0,,,
