datetime,inverter,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),azimuth,zenith,id,panel_size,energy
2023-11-03 02:00:00,0.0,19.6,76.0,20.4,0.0,0.0,1.0,1.0,0.0,0.0,6.6,14.1,10.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67,141,inverter1,107.1,0.0
2023-11-03 03:00:00,0.0,19.2,75.0,19.8,0.0,0.0,1.0,1.0,0.0,0.0,6.5,15.4,10.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80,129,inverter1,107.1,0.0
2023-11-03 04:00:00,0.0,17.9,80.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89,117,inverter1,107.1,0.0
2023-11-03 05:00:00,0.0,17.4,75.0,17.6,0.0,0.0,1.0,0.0,0.0,2.0,5.4,8.0,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98,105,inverter1,107.1,0.0
2023-11-03 06:00:00,0.0,16.9,71.0,17.1,0.0,0.0,8.0,0.0,0.0,27.0,2.6,4.8,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106,93,inverter1,107.1,0.0
2023-11-03 07:00:00,51.310344827586206,16.5,75.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.5,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115,81,inverter1,107.1,0.0
2023-11-03 08:00:00,914.4583333333334,19.3,59.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.3,5.4,1,789.27,33.0,14.0,19.0,123.6,33.0,97.7,72.0,30.5,41.4,199.2,213.1,-125,71,inverter1,107.1,897.7938499633428
2023-11-03 09:00:00,4468.5125,22.1,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.0,11.2,1,3600.0,187.0,121.0,66.0,494.3,187.0,340.2,253.5,164.1,89.5,494.3,461.3,-137,62,inverter1,107.1,5947.412802782396
2023-11-03 10:00:00,9221.608333333334,23.9,52.0,24.3,0.0,0.0,1.0,0.0,0.0,4.0,4.8,6.6,14.8,1,3600.0,362.0,273.0,89.0,669.3,362.0,567.0,423.9,319.7,104.2,669.3,664.0,-152,54,inverter1,107.1,8963.792972463303
2023-11-03 11:00:00,10651.966666666667,25.7,44.0,25.9,0.0,0.0,1.0,1.0,0.0,1.0,4.0,5.1,15.1,1,3600.0,500.0,395.0,105.0,741.0,500.0,740.9,544.8,430.4,114.4,741.0,807.3,-170,50,inverter1,107.1,10255.917279763202
2023-11-03 12:00:00,10516.670833333334,27.1,38.0,27.5,0.0,0.0,10.0,1.0,0.0,32.0,2.5,3.2,14.8,1,3600.0,597.0,487.0,110.0,796.1,597.0,850.3,618.9,504.8,114.0,796.1,881.4,171,50,inverter1,107.1,10537.61533255242
2023-11-03 13:00:00,8002.2875,27.8,35.0,28.3,0.0,0.0,32.0,0.0,4.0,100.0,1.8,2.4,13.7,1,3600.0,612.0,495.0,117.0,775.2,612.0,887.5,607.7,491.6,116.2,775.2,881.4,154,54,inverter1,107.1,9364.004389903896
2023-11-03 14:00:00,5225.875,28.5,33.0,28.0,0.0,0.0,17.0,1.0,14.0,25.0,4.7,6.4,15.8,1,3600.0,540.0,378.0,162.0,618.0,540.0,850.2,512.7,358.9,153.8,618.0,807.1,138,61,inverter1,107.1,7091.706878940867
2023-11-03 15:00:00,3932.970833333333,28.3,34.0,27.8,0.0,0.0,10.0,0.0,12.0,8.0,5.4,7.0,15.8,1,3600.0,377.0,241.0,136.0,452.2,377.0,740.8,337.8,215.9,121.9,452.2,663.8,126,70,inverter1,107.1,4253.931528043406
2023-11-03 16:00:00,4124.783333333334,25.2,56.0,24.9,0.0,0.0,12.0,13.0,1.0,0.0,16.2,22.4,39.2,1,3600.0,318.0,201.0,117.0,493.0,318.0,566.7,258.7,163.5,95.2,493.0,461.0,116,81,inverter1,107.1,2674.859035084809
2023-11-03 17:00:00,788.5083333333333,24.3,59.0,24.2,0.0,0.0,15.0,17.0,0.0,0.0,14.4,20.4,33.5,1,3600.0,169.0,100.0,69.0,409.0,169.0,339.9,105.8,62.6,43.2,409.0,212.7,107,92,inverter1,107.1,534.7316424704065
2023-11-03 18:00:00,29.175,22.9,66.0,23.1,0.0,0.0,14.0,16.0,0.0,0.0,13.3,21.7,28.4,0,570.2,31.0,12.0,19.0,106.2,31.0,97.4,0.0,0.0,0.0,0.0,0.0,98,104,inverter1,107.1,0.0
2023-11-03 19:00:00,0.0,21.8,72.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,11.6,20.5,24.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,116,inverter1,107.1,0.0
2023-11-03 20:00:00,0.0,21.2,75.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,7.6,15.9,20.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,128,inverter1,107.1,0.0
2023-11-03 21:00:00,0.0,20.1,84.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,6.2,10.3,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,140,inverter1,107.1,0.0
2023-11-03 22:00:00,0.0,20.5,79.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.6,6.1,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,151,inverter1,107.1,0.0
2023-11-03 23:00:00,0.0,21.0,76.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.2,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,158,inverter1,107.1,0.0
2023-11-04 00:00:00,0.0,21.0,76.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.1,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19,159,inverter1,107.1,0.0
2023-11-04 01:00:00,0.0,20.0,80.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.6,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49,152,inverter1,107.1,0.0
2023-11-04 02:00:00,0.0,18.8,84.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,6.3,4.6,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68,141,inverter1,107.1,0.0
2023-11-04 03:00:00,0.0,19.7,79.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.8,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80,129,inverter1,107.1,0.0
2023-11-04 04:00:00,0.0,18.0,86.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.4,8.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89,117,inverter1,107.1,0.0
2023-11-04 05:00:00,0.0,18.1,84.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.6,7.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98,105,inverter1,107.1,0.0
