datetime,inverter1,inverter2,inverter3,time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),azimuth,zenith,Gpoa (W/m²),energy1,energy2,energy3,error1,error2,error3
2023-11-03 02:00:00,,,,2023-11-03T02:00,19.6,76,20.4,0.0,0.0,1,1,0,0,6.6,14.1,10.4,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-67,141,0.0,0.0,0.0,0.0,,,
2023-11-03 03:00:00,,0.0,,2023-11-03T03:00,19.2,75,19.8,0.0,0.0,1,1,0,0,6.5,15.4,10.1,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-80,129,0.0,0.0,0.0,0.0,,,
2023-11-03 04:00:00,,0.0,0.0,2023-11-03T04:00,17.9,80,18.8,0.0,0.0,0,0,0,0,4.0,9.5,9.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-89,117,0.0,0.0,0.0,0.0,,,
2023-11-03 05:00:00,0.0,0.0,0.0,2023-11-03T05:00,17.4,75,17.6,0.0,0.0,1,0,0,2,5.4,8.0,9.4,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-98,105,0.0,0.0,0.0,0.0,,,
2023-11-03 06:00:00,0.0,0.0,,2023-11-03T06:00,16.9,71,17.1,0.0,0.0,8,0,0,27,2.6,4.8,9.4,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-106,93,0.0,0.0,0.0,0.0,,,
2023-11-03 07:00:00,51.310344827586206,39.6551724137931,8.229357798165138,2023-11-03T07:00,16.5,75,16.7,0.0,0.0,0,0,0,0,3.9,4.5,5.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-115,81,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023-11-03 08:00:00,914.4583333333334,1173.825,394.2416666666667,2023-11-03T08:00,19.3,59,19.1,0.0,0.0,0,0,0,0,3.9,4.3,5.4,1,789.27,33,14,19,123.6,33,97.7,72.0,30.5,41.4,199.2,213.1,-125,71,59.59446986570695,472.7861125411469,420.25432225879734,255.1544099428412,0.48298780238813843,0.641978725739529,0.3527969478716324
2023-11-03 09:00:00,4468.5125,5724.183333333333,2198.875,2023-11-03T09:00,22.1,53,22.0,0.0,0.0,0,0,0,0,4.5,7.0,11.2,1,3600.0,187,121,66,494.3,187,340.2,253.5,164.1,89.5,494.3,461.3,-137,62,269.5361372973707,4426.9828551438195,3935.0958712389506,2389.1653503950765,0.009293841039088582,0.3125489450479485,0.08653986715710375
2023-11-03 10:00:00,9221.608333333334,8497.904166666667,5025.016666666666,2023-11-03T10:00,23.9,52,24.3,0.0,0.0,1,0,0,4,4.8,6.6,14.8,1,3600.0,362,273,89,669.3,362,567.0,423.9,319.7,104.2,669.3,664.0,-152,54,402.99466308061045,6563.02958872646,5833.804078867965,3541.95247645555,0.2882988138844406,0.3135008392126532,0.2951361733880385
2023-11-03 11:00:00,10651.966666666667,9678.525,5746.170833333334,2023-11-03T11:00,25.7,44,25.9,0.0,0.0,1,1,0,1,4.0,5.1,15.1,1,3600.0,500,395,105,741.0,500,740.9,544.8,430.4,114.4,741.0,807.3,-170,50,451.503508994538,7290.358359446252,6480.31854173,3934.4791146217854,0.31558569533830205,0.3304435808421221,0.31528678336571353
