time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2023-06-01T00:00,17.9,90,16.3,19,0,0,0,0,0,1014.2,998.7,0,0,0,1,0,0.2,7.6,15.1,278,288,15.5,21,23.5,21.8,18.4,0.173,0.158,0.138,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T01:00,17.1,92,15.9,18.3,0,0,0,0,0,1013.9,998.4,0,0,0,0,0,0.15,6.2,10.9,263,262,12.2,20.3,23.4,21.8,18.4,0.173,0.158,0.138,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T02:00,16.6,91,15.2,17.9,0,0,0,0,0,1013.4,997.9,1,0,0,3,0,0.16,3.8,6.7,253,216,10.1,19.7,23.2,21.8,18.4,0.173,0.158,0.138,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T03:00,17.3,87,15.1,18.1,0,0,0,0,0,1012.7,997.2,0,0,0,1,0,0.26,6.6,17.3,167,159,6.1,19.4,23,21.8,18.4,0.172,0.158,0.137,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T04:00,18.3,81,15,19,0,0,0,0,0,1012.5,997.1,2,0,1,6,0,0.4,6.8,16.7,122,147,8.6,18.9,22.8,21.8,18.4,0.172,0.158,0.137,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T05:00,17.3,88,15.3,18.3,0,0,0,0,0,1012.7,997.2,10,0,0,32,0,0.24,5.9,12.7,101,119,13,18.6,22.6,21.8,18.4,0.172,0.158,0.137,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-01T06:00,16.3,93,15.2,17.1,0,0,0,0,0,1012.9,997.4,8,0,0,28,0.01,0.13,6.7,10.1,106,117,9,18.2,22.3,21.8,18.4,0.172,0.158,0.137,0.151,1,0,5,0,5,0,5,36.4,12.7,0,12.7,0,4.9,92.7
2023-06-01T07:00,18.5,82,15.5,19.7,0,0,0,0,0,1013.2,997.8,0,0,0,0,0.05,0.38,5.2,10.7,115,140,11.5,18.8,22.1,21.8,18.4,0.172,0.158,0.137,0.151,1,3545.05,101,48,53,282.8,101,223.8,160.5,76.3,84.2,285.4,159.1,355.6
2023-06-01T08:00,21.2,72,15.9,22.3,0,0,0,0,0,1013.3,998,7,0,0,22,0.17,0.71,6.2,8.9,126,137,14.8,20.1,22,21.8,18.4,0.172,0.158,0.137,0.151,1,3600,283,189,94,517.5,283,485.9,357.5,238.8,118.8,517.5,357.5,613.9
2023-06-01T09:00,23.7,60,15.6,24.8,0,0,0,0,0,1013.8,998.7,17,0,0,58,0.31,1.17,5.6,7.2,117,127,16.2,22,22,21.8,18.4,0.171,0.158,0.137,0.151,1,3600,465,322,143,583.4,465,734.4,538.1,372.6,165.5,583.4,538.1,849.9
