zone_key,emission_factor_type,production_mode,datetime,value,source
CA-ON,lifecycle,gas,9/9/2024 0:00:00,497,"Mallia, E., Lewis, G. ""Life cycle greenhouse gas emissions of electricity generation in the province of Ontario, Canada."" Int J Life Cycle Assess 18, 377–391 (2013)"
US-NW-BPAT,direct,gas,9/9/2024 0:00:00,385.5,eGrid 2021
AD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-LH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-NSW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-NT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-QLD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-SA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-TAS-CBI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-TAS-FI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-TAS-KI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-TAS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-VIC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-WA-RI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU-WA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
AZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BJ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BR-CS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BR-N,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BR-NE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BR-S,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
BZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-AB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-BC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-MB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NL-LB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NL-NF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-NU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-ON,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-PE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-QC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-SK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CA-YT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CL-CHP,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CL-SEA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CL-SEM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CL-SEN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
CV,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
DJ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
DM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
DO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
DZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
EC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
EG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
EH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ER,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ES-CE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ES-ML,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ET,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
FJ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
FK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
FM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GB-NIR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GB-ORK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GB-ZET,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GB,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
GM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
